"tag" "location" "sex" "year" "duration" "nclicks" "crate" "fyear" "locyear" "mean" "mean0.05" "mean0.1" "median" "mode" "medianIPI" "BLGor" "BLGro"
"49" "sw03_247a" "Mediterranean" "UN" 2003 13106 7371 0.56241416145277 "2003" "Mediterranean2003" 0.696856482589365 0.6757919762624 0.675446538446098 0.687541666665084 0.781053008302855 3.94791666666667 10.5537368706597 10.7024791666667
"50" "sw03_249a" "Mediterranean" "UN" 2003 8496 6411 0.754590395480226 "2003" "Mediterranean2003" 0.749003434082785 0.726732330309835 0.728153918694336 0.740614583332956 0.834169328213999 3.67708333333333 10.1622811414931 10.3617708333333
"51" "sw03_249b" "Mediterranean" "UN" 2003 1006 1031 1.02485089463221 "2003" "Mediterranean2003" 0.767232376559567 0.745879824957816 0.731343979459674 0.738031249999949 0.836135433064187 4.0729 10.7344 10.8597
"52" "sw03_249c" "Mediterranean" "UN" 2003 39195 27938 0.712794999362164 "2003" "Mediterranean2003" 0.708449810958811 0.704467167977015 0.710566574847787 0.72331250004936 0.767327834004533 2.135416667 7.931200412 8.422354167
"53" "sw03_253a" "Mediterranean" "UN" 2003 21840 21729 0.994917582417582 "2003" "Mediterranean2003" 0.490795584292759 0.463926958594167 0.459456367051845 0.450645833304861 0.4383187992119 3.6354 10.102 10.3094
"54" "sw03_253b" "Mediterranean" "UN" 2003 42393 39568 0.933361639893379 "2003" "Mediterranean2003" 0.569999682457302 0.549887620327405 0.546736936769348 0.527156250002918 0.476466907411711 3.9896 10.6139 10.7549
"55" "sw03_253c" "Mediterranean" "UN" 2003 17782 18898 1.06276009447756 "2003" "Mediterranean2003" 0.532046097412168 0.49501874531786 0.488903633292245 0.467515625000487 0.435930907562385 3.5 9.9 10.14
"56" "sw05_196a" "Norway" "M" 2005 77806 52271 0.671811942523713 "2005" "Norway2005" 0.755294592042842 0.751240690797758 0.750764041377421 0.746541666601843 0.731581360821984 7 14.98 14.57
"57" "sw09_153a" "Norway" "M" 2010 31208 31423 1.00688925916432 "2010" "Norway2010" 0.664676435774994 0.653073772646201 0.648886775001038 0.640635416661098 0.632106688953297 5.40625 12.6590537109375 12.5370625
"58" "sw10_147a" "Norway" "M" 2010 56725 27495 0.48470691934773 "2010" "Norway2010" 0.795740474433766 0.792305801097092 0.791099091662418 0.784583333297633 0.770978319228562 4.9479 11.9978 11.9605
"59" "sw10_149a" "Norway" "M" 2010 57324 46243 0.806695275975159 "2010" "Norway2010" 0.779284853694434 0.773238065628404 0.771597911522065 0.769447916669833 0.769710387063427 4.5833 11.4716 11.5018
"60" "sw10_150a" "Norway" "M" 2010 53019 31333 0.590976819630698 "2010" "Norway2010" 0.774715437193783 0.76251998888551 0.764116439786749 0.771812500002852 0.784638430771068 4.5208 11.3813 11.4232
"61" "sw14_092a" "DOMINICA" "F" 2014 6941 7929 1.14234260193056 "2014" "DOMINICA2014" 0.543926339120359 0.522756524734872 0.518352298660158 0.515391666670439 0.517341067383031 NA NA NA
"62" "sw14_106a" "DOMINICA" "F" 2014 18030 22651 1.25629506378258 "2014" "DOMINICA2014" 0.526895448048568 0.514191603533256 0.510369813984879 0.502383333399848 0.487373112009915 NA NA NA
"63" "sw14_106b" "DOMINICA" "F" 2014 32045 27223 0.849524106724918 "2014" "DOMINICA2014" 0.515915180853242 0.500869199671678 0.498817014881926 0.497308333298861 0.495190159118097 NA NA NA
"64" "sw14_114a" "DOMINICA" "F" 2014 24849 25834 1.03963942210954 "2014" "DOMINICA2014" 0.466738509060265 0.450167513312836 0.445069707730906 0.4375 0.39717232661943 NA NA NA
"65" "sw14_114b" "DOMINICA" "F" 2014 23424 30254 1.29158128415301 "2014" "DOMINICA2014" 0.508487058344625 0.494386201059464 0.489368876960181 0.478116666670303 0.462984816343606 NA NA NA
"66" "sw14_119a" "DOMINICA" "F" 2014 29112 34328 1.17917010167628 "2014" "DOMINICA2014" 0.509171558482471 0.490513889980069 0.485220887344289 0.472983333400407 0.459409208793231 NA NA NA
"67" "sw14_119b" "DOMINICA" "F" 2014 26550 22948 0.864331450094162 "2014" "DOMINICA2014" 0.465699366498497 0.450466966464353 0.444208559837476 0.432329166649197 0.417984424143789 NA NA NA
"68" "sw15_061a" "DOMINICA" "F" 2015 14804 17392 1.17481761686031 "2015" "DOMINICA2015" 0.498413078563287 0.478310043774882 0.470822548483625 0.457891666659634 0.44673335005283 NA NA NA
"69" "sw15_061b" "DOMINICA" "F" 2015 26392 22588 0.855865413761746 "2015" "DOMINICA2015" 0.550015718878439 0.531551875566569 0.524790629767282 0.516391666666095 0.488356244202049 NA NA NA
"70" "sw15_061c" "DOMINICA" "F" 2015 21238 23865 1.12369337979094 "2015" "DOMINICA2015" 0.499786604873779 0.481774705577406 0.47490774087494 0.467174999999997 0.459204592762493 NA NA NA
"71" "sw15_078a" "DOMINICA" "F" 2015 26280 33166 1.26202435312024 "2015" "DOMINICA2015" 0.483510211058502 0.466525242360058 0.460648829947793 0.448691666701052 0.423627643583092 NA NA NA
"72" "sw15_078b" "DOMINICA" "F" 2015 9353 12109 1.29466481342885 "2015" "DOMINICA2015" 0.52155613003905 0.509194603254388 0.506240909637681 0.50346666670066 0.471822336841002 NA NA NA
"73" "sw15_078c" "DOMINICA" "JM" 2015 28730 29605 1.03045596937 "2015" "DOMINICA2015" 0.49182884349834 0.477478843179396 0.472773366061618 0.459749999999985 0.429424423983149 NA NA NA
"74" "sw15_078d" "DOMINICA" "JM" 2015 83449 97145 1.16412419561648 "2015" "DOMINICA2015" 0.545943104314176 0.529806858029643 0.525904425155718 0.519883333399775 0.472078824075146 NA NA NA
"75" "sw15_085a" "DOMINICA" "F" 2015 31513 22288 0.707263668962016 "2015" "DOMINICA2015" 0.503394553406234 0.48578051326702 0.483021359472425 0.483708333300456 0.41641226674914 NA NA NA
"76" "sw15_090a" "DOMINICA" "F" 2015 34775 27744 0.797814521926671 "2015" "DOMINICA2015" 0.542667419332455 0.526708379605577 0.523465677947104 0.52096666667012 0.525846868448074 NA NA NA
"77" "sw15_090b" "DOMINICA" "F" 2015 32316 25286 0.782460700581755 "2015" "DOMINICA2015" 0.536048178026708 0.521394622273774 0.517931381986243 0.516395833335082 0.50907196973626 NA NA NA
"78" "sw15_090c" "DOMINICA" "F" 2015 26702 20133 0.753988465283499 "2015" "DOMINICA2015" 0.556554042903677 0.540931768326078 0.539166508243824 0.536541666700941 0.519577450396966 NA NA NA
"79" "sw15_091a" "DOMINICA" "F" 2015 27180 25514 0.938704930095659 "2015" "DOMINICA2015" 0.54009519427605 0.525416104205636 0.522473993220342 0.521066666600746 0.51954264591064 NA NA NA
"80" "sw15_091b" "DOMINICA" "F" 2015 23770 24167 1.01670172486327 "2015" "DOMINICA2015" 0.570424466265323 0.554617756473208 0.550970985381555 0.549366666702554 0.558394051785511 NA NA NA
"81" "sw15_097a" "DOMINICA" "F" 2015 22696 25448 1.12125484666902 "2015" "DOMINICA2015" 0.531224764623445 0.514596662746472 0.510695914183982 0.507900000000518 0.50419054432672 NA NA NA
"82" "sw15_100a" "DOMINICA" "F" 2015 18575 10916 0.587671601615074 "2015" "DOMINICA2015" 0.485607115977508 0.467446604876151 0.459928126888856 0.448779166680424 0.405272980855924 NA NA NA
"83" "sw15_100b" "DOMINICA" "F" 2015 33932 28206 0.831250736767653 "2015" "DOMINICA2015" 0.474743066310955 0.460497190683506 0.455615887447882 0.448116666669875 0.394269391264809 NA NA NA
"84" "sw16_103a" "DOMINICA" "F" 2016 21807 23217 1.06465813729536 "2016" "DOMINICA2016" 0.541742601428682 0.528140894529173 0.527222159076939 0.527183333350422 0.530888211299839 NA NA NA
"85" "sw16_115b" "DOMINICA" "F" 2016 3331 4602 1.38156709696788 "2016" "DOMINICA2016" 0.514620941883295 0.496301359068587 0.490804570012351 0.483512000000019 0.481080159556368 NA NA NA
"86" "sw16_131a" "Norway" "M" 2016 42992 27885 0.648609043542985 "2016" "Norway2016" 0.770990219261024 0.750193242113302 0.749735653157992 0.747891666698706 0.569117665151502 5.6417 12.9985 12.8332
"87" "sw16_133a" "DOMINICA" "F" 2016 22144 29327 1.32437680635838 "2016" "DOMINICA2016" 0.456575893989296 0.444517939451246 0.439628006016977 0.431483333329652 0.419123689445392 NA NA NA
